,host_is_superhost,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,shared_bathrooms,private_bathrooms
0,f,Pankow,52.53471,13.4181,Entire home/apt,4,1,2,83.0,63,184,3,3,5,147,4.63,4.68,4.53,4.64,4.69,4.92,4.63,f,0.0,1.0
1,f,Pankow,52.53269,13.41805,Entire home/apt,7,4,7,180.0,6,14,0,0,0,8,5.0,5.0,5.0,5.0,5.0,4.86,4.86,f,0.0,2.5
3,t,Pankow,52.54813,13.40366,Entire home/apt,1,1,1,70.0,93,1125,0,2,2,26,4.67,5.0,4.84,4.68,4.84,4.58,4.42,f,0.0,1.0
4,t,Pankow,52.53572,13.42739,Entire home/apt,4,3,3,135.0,5,150,20,49,68,54,4.85,4.87,4.77,4.79,4.94,4.89,4.77,f,0.0,1.5
5,f,Friedrichshain-Kreuzberg,52.49612,13.42306,Entire home/apt,2,1,1,124.0,7,21,5,5,5,24,4.61,4.58,4.58,4.83,4.83,4.96,4.42,f,0.0,1.0
6,f,Mitte,52.52875,13.34062,Entire home/apt,2,1,2,75.0,92,1125,0,0,0,209,4.72,4.73,4.78,4.89,4.89,4.58,4.67,f,0.0,1.0
7,f,Friedrichshain-Kreuzberg,52.51495,13.44469,Entire home/apt,3,1,1,45.0,2,28,0,0,0,6,5.0,4.83,4.83,4.83,4.83,4.83,4.83,f,0.0,1.0
8,f,Pankow,52.54639,13.40638,Entire home/apt,2,1,2,249.0,93,120,7,7,7,20,4.75,4.84,4.89,4.68,4.61,4.63,4.58,f,0.0,1.0
9,t,Treptow - Köpenick,52.40484,13.53339,Private room,1,1,1,46.0,1,10,13,18,39,372,4.93,4.95,4.95,4.96,4.96,4.77,4.92,f,1.5,0.0
10,t,Mitte,52.5197,13.34206,Entire home/apt,2,1,3,96.0,5,365,16,36,66,113,4.59,4.69,4.64,4.95,4.87,4.65,4.55,f,0.0,1.0
11,f,Friedrichshain-Kreuzberg,52.50312,13.43508,Entire home/apt,5,1,3,90.0,93,365,0,0,0,48,4.72,4.86,4.86,4.93,4.86,4.67,4.71,f,0.0,1.0
12,t,Mitte,52.52265,13.3419,Entire home/apt,2,1,2,96.0,5,365,0,0,0,72,4.58,4.74,4.68,4.93,4.88,4.79,4.44,f,0.0,1.0
13,t,Mitte,52.52861,13.40527,Private room,2,1,1,49.0,3,1125,3,8,23,223,4.9,4.92,4.82,4.9,4.96,4.97,4.84,f,1.0,0.0
14,f,Mitte,52.54059,13.40301,Entire home/apt,4,2,2,179.0,3,20,8,8,8,15,4.73,4.67,4.47,4.93,4.6,4.87,4.36,f,0.0,2.0
15,t,Pankow,52.54994,13.406019,Private room,2,1,1,93.0,2,60,11,12,23,84,4.95,4.95,4.94,4.96,4.9,4.83,4.76,f,0.0,1.5
16,f,Neukölln,52.49419,13.42166,Entire home/apt,2,1,1,25.0,92,365,0,0,0,299,4.77,4.82,4.71,4.89,4.92,4.87,4.65,f,0.0,1.0
17,t,Pankow,52.55004,13.41518,Entire home/apt,4,1,2,124.0,3,200,17,36,66,348,4.58,4.74,4.63,4.68,4.73,4.82,4.55,f,0.0,1.0
18,t,Pankow,52.5488,13.40425,Entire home/apt,2,1,1,102.0,93,1125,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f,0.0,1.0
19,f,Tempelhof - Schöneberg,52.39095,13.39185,Entire home/apt,7,4,4,96.0,92,365,0,0,0,7,5.0,4.86,4.86,5.0,5.0,4.57,4.86,f,0.0,2.5
20,t,Tempelhof - Schöneberg,52.49132,13.35102,Entire home/apt,2,2,1,44.0,185,320,0,0,0,62,4.66,4.81,4.83,4.73,4.75,4.71,4.68,f,0.0,1.0
21,f,Pankow,52.53711,13.40888,Entire home/apt,4,2,2,192.0,3,30,24,50,79,103,4.45,4.6,4.61,4.47,4.47,4.88,4.34,f,0.0,1.0
22,f,Charlottenburg-Wilm.,52.50587,13.29551,Entire home/apt,2,1,1,105.0,92,365,0,10,10,40,4.94,4.94,4.78,4.94,4.97,4.97,4.84,f,0.0,1.0
23,f,Neukölln,52.48342,13.43774,Private room,2,1,1,32.0,2,14,0,0,0,30,4.96,4.82,4.89,4.96,4.93,4.61,4.89,f,0.0,1.0
24,t,Marzahn - Hellersdorf,52.47798,13.60628,Entire home/apt,4,1,4,59.0,3,180,19,25,25,52,4.73,4.9,4.4,4.94,4.85,4.58,4.69,f,0.0,1.0
25,f,Charlottenburg-Wilm.,52.5078,13.31867,Entire home/apt,2,1,1,126.0,3,360,0,0,0,68,4.7,4.76,4.7,4.85,4.91,4.91,4.61,t,0.0,1.5
26,f,Friedrichshain-Kreuzberg,52.5046,13.43374,Entire home/apt,2,1,2,45.0,93,730,29,59,89,60,4.74,4.7,4.91,4.77,4.58,4.62,4.58,f,0.0,1.0
27,t,Charlottenburg-Wilm.,52.48074,13.28903,Entire home/apt,1,1,1,86.0,2,330,29,59,89,137,4.94,4.98,5.0,4.97,4.99,4.83,4.88,f,0.0,1.0
28,t,Mitte,52.52142,13.38983,Entire home/apt,5,2,3,150.0,4,60,1,23,38,52,4.94,4.9,4.86,4.88,4.86,4.96,4.84,f,0.0,1.0
29,f,Neukölln,52.47578,13.44689,Entire home/apt,4,1,1,62.0,1,30,0,0,0,3,4.33,5.0,4.33,5.0,5.0,5.0,4.33,f,0.0,1.0
30,t,Neukölln,52.44127,13.46116,Entire home/apt,3,1,1,58.0,4,365,6,13,39,46,4.8,4.89,4.76,4.96,4.96,4.44,4.76,t,0.0,1.0
31,f,Mitte,52.53408,13.38871,Entire home/apt,2,2,4,65.0,93,365,0,0,0,182,4.7,4.76,4.7,4.82,4.73,4.62,4.68,f,0.0,1.0
32,t,Pankow,52.53218,13.41571,Entire home/apt,2,1,1,74.0,3,10,17,47,73,564,4.82,4.85,4.84,4.94,4.94,4.9,4.76,f,0.0,1.0
33,t,Mitte,52.53355,13.40476,Entire home/apt,5,1,4,160.0,2,24,14,40,66,396,4.79,4.81,4.74,4.88,4.88,4.94,4.66,f,0.0,1.0
34,t,Pankow,52.55064,13.41466,Entire home/apt,2,1,1,66.0,3,35,4,4,10,364,4.93,4.94,4.96,4.96,4.96,4.88,4.86,t,0.0,1.0
35,f,Friedrichshain-Kreuzberg,52.49134,13.37975,Entire home/apt,4,1,3,65.0,185,360,0,0,0,99,4.37,4.41,4.51,4.72,4.59,4.52,4.39,f,0.0,1.0
37,t,Friedrichshain-Kreuzberg,52.51367,13.45527,Entire home/apt,2,1,2,136.0,4,365,18,48,52,77,4.79,4.75,4.65,4.84,4.89,4.92,4.58,f,0.0,2.0
38,t,Steglitz - Zehlendorf,52.41643,13.16445,Entire home/apt,4,1,3,125.0,5,365,15,31,50,2,5.0,5.0,5.0,5.0,5.0,4.5,5.0,f,0.0,1.0
40,t,Steglitz - Zehlendorf,52.41618,13.16461,Entire home/apt,2,1,2,105.0,5,365,11,18,43,2,3.0,2.5,3.5,3.5,3.5,4.0,2.5,f,0.0,1.0
41,t,Mitte,52.52826,13.33044,Entire home/apt,4,1,1,60.0,2,365,12,22,33,184,4.59,4.8,4.53,4.87,4.84,4.46,4.63,t,0.0,1.0
42,f,Mitte,52.53094,13.33453,Entire home/apt,5,1,2,203.0,3,1125,24,54,64,49,4.73,4.71,4.88,4.71,4.73,4.61,4.49,t,0.0,1.0
43,f,Mitte,52.52779,13.39108,Entire home/apt,5,2,3,115.0,2,1125,7,24,32,335,4.62,4.74,4.74,4.75,4.62,4.83,4.53,f,0.0,1.0
44,f,Mitte,52.53036,13.38137,Entire home/apt,2,1,1,89.0,3,365,5,23,49,122,4.68,4.76,4.82,4.82,4.35,4.95,4.66,t,0.0,1.0
45,t,Pankow,52.54715,13.42657,Entire home/apt,5,1,4,126.0,3,365,15,45,68,208,4.87,4.95,4.9,4.92,4.94,4.79,4.72,f,0.0,1.0
46,t,Pankow,52.54048,13.41087,Entire home/apt,4,1,1,111.0,4,365,0,6,6,64,4.84,4.84,4.64,4.79,4.97,4.95,4.72,f,0.0,1.0
48,t,Pankow,52.54804,13.40349,Entire home/apt,1,1,1,70.0,93,1125,0,0,0,34,4.66,4.75,4.84,4.88,4.97,4.69,4.26,f,0.0,1.0
