,name,price,rating,total_reviews,duration,url
0,Rude Bastards tour of Berlin,4,4.93,275,3.5,https://www.airbnb.com/experiences/1667898?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
1,No Diet Club - Paradise of street food in Berlin,48,5.0,4,3.0,https://www.airbnb.com/experiences/4696766?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
2,Discover Berlin,22,4.94,685,3.5,https://www.airbnb.com/experiences/2551364?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
3,Hitler’s camps – Sachsenhausen,65,5.0,15,5.0,https://www.airbnb.com/experiences/2706307?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
4,"Nightclub Access 
All Berlin Clubs",218,4.96,110,1.0,https://www.airbnb.com/experiences/838239?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
5,Vegan Food & Sustainability Tour -Discover the vegan capital,75,4.99,81,3.0,https://www.airbnb.com/experiences/1944220?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
6,Guided bar tour,98,5.0,12,4.0,https://www.airbnb.com/experiences/4382100?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
7,Explore Berlin with a portrait photographer,66,5.0,16,1.5,https://www.airbnb.com/experiences/4583123?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
8,Hip Berlin Underground Tour,34,4.92,661,2.5,https://www.airbnb.com/experiences/834529?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
9,DJing - Hands-on Workshop,39,4.93,15,1.0,https://www.airbnb.com/experiences/809227?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
10,Kreuzberg Food Tour,82,4.94,200,3.0,https://www.airbnb.com/experiences/429827?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
11,The Dark Heart of the Third Reich,44,4.94,172,2.0,https://www.airbnb.com/experiences/185255?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
12,Hitler’s Berlin - the rise and fall,33,4.95,490,2.5,https://www.airbnb.com/experiences/746933?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
13,English Comedy Berlin + Pizza + Shots,27,4.87,189,3.0,https://www.airbnb.com/experiences/510438?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
14,East Berlin - a Brief Tour,17,4.98,52,2.5,https://www.airbnb.com/experiences/3828178?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
15,English Comedy Show on a boat,11,4.9,290,2.0,https://www.airbnb.com/experiences/771451?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
16,Techno Painting with a Berlin Artist,82,4.97,278,3.0,https://www.airbnb.com/experiences/290074?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
17,Club like a local in Berlin,90,4.94,67,6.0,https://www.airbnb.com/experiences/3303407?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
18,Holocaust & Nazi Resistance Tour,33,4.94,48,2.5,https://www.airbnb.com/experiences/2706761?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
19,Street Art & Graffiti Tour,32,4.88,91,2.0,https://www.airbnb.com/experiences/420832?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
20,Discover how to produce House Music & Techno in Berlin,55,5.0,21,2.0,https://www.airbnb.com/experiences/4294424?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
21,Discover Electronic Music Production,71,4.96,55,2.0,https://www.airbnb.com/experiences/1457126?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
22,Hands on DJ-Masterclass,82,0.0,0,2.0,https://www.airbnb.com/experiences/4835444?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
23,BERLIN FASHION TOUR shop@ hidden spots,49,4.8,41,2.5,https://www.airbnb.com/experiences/131888?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
24,Jewish places and stories,41,4.99,127,3.0,https://www.airbnb.com/experiences/618079?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
25,English Comedy Show,7,4.81,97,2.0,https://www.airbnb.com/experiences/1002772?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
26,Berlin with a Private Photographer,71,5.0,7,1.5,https://www.airbnb.com/experiences/3459582?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
27,Discover Berlin's Highlights on a bike,39,4.85,610,3.5,https://www.airbnb.com/experiences/180160?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
28,History and alternative tracks,54,4.91,431,3.0,https://www.airbnb.com/experiences/308436?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
29,Memorable private photoshoot in the heart of Berlin,66,5.0,17,1.0,https://www.airbnb.com/experiences/4198462?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
30,Absinthe & Absinthe Cocktail Tasting,39,4.81,278,1.0,https://www.airbnb.com/experiences/150986?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
31,Späti Crawl Berlin,20,4.75,188,3.0,https://www.airbnb.com/experiences/480372?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
32,The Alternative Berlin Bike Tour,32,4.91,68,4.5,https://www.airbnb.com/experiences/1116589?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
33,Berlin Raves and Underground Access,108,5.0,8,3.0,https://www.airbnb.com/experiences/1284115?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
34,Xberg's hidden Roastery's top notch Bakery's tour,21,4.85,33,2.0,https://www.airbnb.com/experiences/1250080?checkin=2023-01-30&checkout=2023-12-31&location=Berlin%2C%20Germany&currentTab=experience_tab&federatedSearchId=547258f5-5f72-484c-99c6-a4816bedabe7&searchId=e908a009-23fc-45eb-b2de-6fb29386159b&sectionId=da821b0a-cb3f-46ea-9bc1-6b50853ffa8e
